Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints
AMERICAN GEN LIFE INS CO,60488,Individual Annuity,4.7,"868,461,595",5.9,0.80
LINCOLN NATL LIFE INS CO,65676,Individual Annuity,1.8,"776,128,428",5.3,0.34
NEW YORK LIFE INS & ANN CORP,91596,Individual Annuity,2.4,"718,174,083",4.9,0.48
PRUCO LIFE INS CO,79227,Individual Annuity,0.6,"595,680,179",4.0,0.15
AXA EQUITABLE LIFE INS CO,62944,Individual Annuity,1.2,"526,381,467",3.6,0.33
ATHENE ANN & LIFE CO,61689,Individual Annuity,11.8,"514,383,346",3.5,3.37
AMERICAN EQUITY INVEST LIFE INS CO,92738,Individual Annuity,2.4,"506,543,774",3.4,0.69
FORETHOUGHT LIFE INS CO,91642,Individual Annuity,1.8,"498,999,276",3.4,0.52
MIDLAND NATL LIFE INS CO,66044,Individual Annuity,0.6,"446,752,356",3.0,0.19
BRIGHTHOUSE LIFE INS CO,87726,Individual Annuity,1.2,"404,562,957",2.7,0.43
VARIABLE ANN LIFE INS CO,70238,Individual Annuity,2.4,"398,549,072",2.7,0.87
PACIFIC LIFE INS CO,67466,Individual Annuity,1.2,"380,582,417",2.6,0.46
GREAT AMER LIFE INS CO,63312,Individual Annuity,4.1,"347,346,836",2.4,1.75
SYMETRA LIFE INS CO,68608,Individual Annuity,0.6,"336,382,416",2.3,0.26
SECURITY BENEFIT LIFE INS CO,68675,Individual Annuity,4.7,"328,661,212",2.2,2.11
RIVERSOURCE LIFE INS CO,65005,Individual Annuity,1.2,"286,743,891",1.9,0.61
FIDELITY & GUAR LIFE INS CO,63274,Individual Annuity,1.8,"207,371,220",1.4,1.26
EAGLE LIFE INS CO,13183,Individual Annuity,0.6,"177,116,048",1.2,0.49
EQUITRUST LIFE INS CO,62510,Individual Annuity,0.6,"127,474,888",0.9,0.68
VOYA INS & ANN CO,80942,Individual Annuity,2.9,"125,000,879",0.8,3.47
METROPOLITAN LIFE INS CO,65978,Individual Annuity,1.2,"115,880,792",0.8,1.50
SENTINEL SECURITY LIFE INS CO,68802,Individual Annuity,1.8,"109,055,809",0.7,2.39
AMERICAN NATL INS CO,60739,Individual Annuity,0.6,"106,086,144",0.7,0.82
USAA LIFE INS CO,69663,Individual Annuity,0.6,"105,146,855",0.7,0.83
BANKERS LIFE & CAS CO,61263,Individual Annuity,5.9,"99,553,212",0.7,8.71
DELAWARE LIFE INS CO,79065,Individual Annuity,5.3,"75,615,142",0.5,10.33
NATIONAL WESTERN LIFE INS CO,66850,Individual Annuity,2.4,"72,034,379",0.5,4.82
RELIANCE STANDARD LIFE INS CO,68381,Individual Annuity,0.6,"57,584,898",0.4,1.51
TRANSAMERICA PREMIER LIFE INS CO,66281,Individual Annuity,0.6,"56,659,222",0.4,1.53
PHL VARIABLE INS CO,93548,Individual Annuity,1.2,"54,804,490",0.4,3.17
UNITED OF OMAHA LIFE INS CO,69868,Individual Annuity,0.6,"40,226,836",0.3,2.16
NATIONWIDE LIFE INS CO,66869,Individual Annuity,1.8,"34,932,438",0.2,7.45
ANNUITY INVESTORS LIFE INS CO,93661,Individual Annuity,0.6,"23,526,633",0.2,3.69
HORACE MANN LIFE INS CO,64513,Individual Annuity,0.6,"20,762,288",0.1,4.18
HARTFORD LIFE & ANN INS CO,71153,Individual Annuity,0.6,"16,144,461",0.1,5.37
PRUDENTIAL INS CO OF AMER,68241,Individual Annuity,0.6,"14,522,668",0.1,5.97
HARTFORD LIFE INS CO,88072,Individual Annuity,1.2,"13,675,075",0.1,12.69
OXFORD LIFE INS CO,76112,Individual Annuity,0.6,"13,506,807",0.1,6.42
PENN MUT LIFE INS CO,67644,Individual Annuity,0.6,"13,247,369",0.1,6.55
JOHN HANCOCK LIFE INS CO USA,65838,Individual Annuity,0.6,"8,458,850",0.1,10.26
LINCOLN BENEFIT LIFE CO,65595,Individual Annuity,1.2,"6,512,821",0.0,26.64
ALLSTATE LIFE INS CO,60186,Individual Annuity,0.6,"3,934,239",0.0,22.05
WASHINGTON NATL INS CO,70319,Individual Annuity,1.8,"185,991",0.0,"1,399.28"
ATHENE ANNUITY & LIFE ASSUR CO,61492,Individual Annuity,3.5,"176,975",0.0,"2,941.14"
NATIONWIDE LIFE & ANN INS CO,92657,Individual Annuity,0.6,"174,130",0.0,498.20
RELIASTAR LIFE INS CO OF NY,61360,Individual Annuity,0.6,"8,000",0.0,"10,843.93"
AXA EQUITABLE LIFE & ANN CO,62880,Individual Annuity,0.6,0,0.0,
JOHN HANCOCK LIFE & HLTH INS CO,93610,Individual Annuity,1.2,0,0.0,
MUNICH RE US LIFE CORP,69604,Individual Annuity,0.6,0,0.0,
PHOENIX LIFE & ANN CO,93734,Individual Annuity,1.2,0,0.0,
ROYAL NEIGHBORS OF AMER,57657,Individual Annuity,0.6,0,0.0,
NORTHWESTERN MUT LIFE INS CO,67091,Individual Life,0.6,"629,382,468",8.3,0.08
LINCOLN NATL LIFE INS CO,65676,Individual Life,1.3,"381,554,537",5.0,0.25
JOHN HANCOCK LIFE INS CO USA,65838,Individual Life,0.9,"336,172,056",4.4,0.20
MASSACHUSETTS MUT LIFE INS CO,65935,Individual Life,0.6,"327,502,570",4.3,0.15
TRANSAMERICA LIFE INS CO,86231,Individual Life,3.0,"278,911,627",3.7,0.82
PRUCO LIFE INS CO,79227,Individual Life,0.1,"230,554,146",3.0,0.04
STATE FARM LIFE INS CO,69108,Individual Life,0.8,"226,678,544",3.0,0.25
AMERICAN GEN LIFE INS CO,60488,Individual Life,15.0,"218,466,329",2.9,5.22
BRIGHTHOUSE LIFE INS CO,87726,Individual Life,1.4,"208,850,716",2.8,0.50
NEW YORK LIFE INS CO,66915,Individual Life,1.4,"200,712,009",2.6,0.53
NEW YORK LIFE INS & ANN CORP,91596,Individual Life,0.4,"190,389,659",2.5,0.15
AXA EQUITABLE LIFE INS CO,62944,Individual Life,0.6,"164,202,332",2.2,0.29
PRIMERICA LIFE INS CO,65919,Individual Life,0.6,"154,035,570",2.0,0.31
METROPOLITAN LIFE INS CO,65978,Individual Life,2.1,"141,401,482",1.9,1.15
MIDLAND NATL LIFE INS CO,66044,Individual Life,0.8,"128,021,696",1.7,0.45
UNITED OF OMAHA LIFE INS CO,69868,Individual Life,2.7,"106,833,480",1.4,1.88
PROTECTIVE LIFE INS CO,68136,Individual Life,0.6,"98,311,765",1.3,0.49
LINCOLN BENEFIT LIFE CO,65595,Individual Life,1.3,"96,400,387",1.3,0.99
TRANSAMERICA PREMIER LIFE INS CO,66281,Individual Life,3.4,"85,481,754",1.1,3.03
MINNESOTA LIFE INS CO,66168,Individual Life,0.4,"80,788,504",1.1,0.36
SECURITY LIFE OF DENVER INS CO,68713,Individual Life,0.3,"78,176,938",1.0,0.25
NORTH AMER CO LIFE & HLTH INS,66974,Individual Life,0.9,"72,845,937",1.0,0.92
RELIASTAR LIFE INS CO,67105,Individual Life,0.5,"71,922,030",0.9,0.53
GENWORTH LIFE & ANN INS CO,65536,Individual Life,0.3,"71,314,124",0.9,0.27
BANNER LIFE INS CO,94250,Individual Life,0.4,"70,374,981",0.9,0.41
USAA LIFE INS CO,69663,Individual Life,0.1,"67,972,738",0.9,0.14
JACKSON NATL LIFE INS CO,65056,Individual Life,3.3,"61,032,161",0.8,4.08
RIVERSOURCE LIFE INS CO,65005,Individual Life,0.4,"60,689,343",0.8,0.47
PRUDENTIAL INS CO OF AMER,68241,Individual Life,2.0,"56,748,319",0.7,2.70
HARTFORD LIFE & ANN INS CO,71153,Individual Life,1.0,"55,287,582",0.7,1.39
MONY LIFE INS CO OF AMER,78077,Individual Life,0.3,"51,867,151",0.7,0.37
PRINCIPAL LIFE INS CO,61271,Individual Life,0.4,"51,612,239",0.7,0.56
LIFE INS CO OF THE SOUTHWEST,65528,Individual Life,0.3,"50,802,159",0.7,0.38
LIBERTY NATL LIFE INS CO,65331,Individual Life,0.8,"40,957,246",0.5,1.40
BANKERS LIFE & CAS CO,61263,Individual Life,2.3,"39,299,299",0.5,4.39
SOUTHERN FARM BUREAU LIFE INS CO,68896,Individual Life,0.4,"38,097,543",0.5,0.75
AMERICAN NATL INS CO,60739,Individual Life,1.1,"37,813,771",0.5,2.28
US BR SUN LIFE ASSUR CO OF CANADA,80802,Individual Life,0.3,"36,078,744",0.5,0.53
AMERICAN INCOME LIFE INS CO,60577,Individual Life,0.5,"35,996,422",0.5,1.06
AMERITAS LIFE INS CORP,61301,Individual Life,0.3,"35,266,592",0.5,0.54
ACCORDIA LIFE & ANN CO,62200,Individual Life,4.7,"35,207,947",0.5,10.07
LINCOLN HERITAGE LIFE INS CO,65927,Individual Life,0.5,"34,173,286",0.5,1.12
NATIONWIDE LIFE INS CO,66869,Individual Life,0.3,"33,942,393",0.4,0.56
SYMETRA LIFE INS CO,68608,Individual Life,0.4,"32,958,702",0.4,0.87
FIDELITY & GUAR LIFE INS CO,63274,Individual Life,0.5,"29,660,855",0.4,1.29
ALLSTATE LIFE INS CO,60186,Individual Life,0.5,"27,895,539",0.4,1.37
CMFG LIFE INS CO,62626,Individual Life,0.1,"26,801,555",0.4,0.36
CM LIFE INS CO,93432,Individual Life,0.4,"26,261,132",0.3,1.09
GENWORTH LIFE INS CO,70025,Individual Life,0.1,"26,062,497",0.3,0.37
GLOBE LIFE & ACCIDENT INS CO,91472,Individual Life,2.8,"26,024,677",0.3,8.10
GERBER LIFE INS CO,70939,Individual Life,0.8,"24,754,634",0.3,2.32
COLONIAL LIFE & ACCIDENT INS CO,62049,Individual Life,0.5,"23,991,217",0.3,1.60
GENERAL AMER LIFE INS CO,63665,Individual Life,0.1,"22,005,081",0.3,0.44
NATIONAL GUARDIAN LIFE INS CO,66583,Individual Life,0.1,"21,185,774",0.3,0.45
UNITED INS CO OF AMER,69930,Individual Life,3.0,"20,704,599",0.3,11.11
AMERICAN MEMORIAL LIFE INS CO,67989,Individual Life,0.1,"20,546,084",0.3,0.47
PHOENIX LIFE INS CO,67814,Individual Life,0.3,"20,525,423",0.3,0.93
AMERICO FIN LIFE & ANN INS CO,61999,Individual Life,0.4,"20,108,141",0.3,1.43
AAA LIFE INS CO,71854,Individual Life,0.3,"18,820,411",0.2,1.02
AMERICAN HERITAGE LIFE INS CO,60534,Individual Life,0.8,"17,257,902",0.2,3.33
COLUMBUS LIFE INS CO,99937,Individual Life,0.3,"16,593,011",0.2,1.16
AMERICAN FAMILY LIFE ASSUR CO OF C,60380,Individual Life,0.5,"14,882,671",0.2,2.58
SECURITY MUT LIFE INS CO OF NY,68772,Individual Life,0.1,"13,861,740",0.2,0.69
COLUMBIAN LIFE INS CO,76023,Individual Life,0.6,"13,264,748",0.2,3.61
COLONIAL PENN LIFE INS CO,62065,Individual Life,0.4,"13,100,346",0.2,2.19
WILCO LIFE INS CO,65900,Individual Life,4.8,"13,068,830",0.2,27.86
UNITED STATES LIFE INS CO IN THE C,70106,Individual Life,0.3,"9,349,066",0.1,2.05
US FINANCIAL LIFE INS CO,84530,Individual Life,0.3,"9,111,233",0.1,2.10
PHYSICIANS LIFE INS CO,72125,Individual Life,0.3,"8,456,006",0.1,2.27
WESTERN & SOUTHERN LIFE INS CO,70483,Individual Life,0.5,"8,149,410",0.1,4.70
HARTFORD LIFE INS CO,88072,Individual Life,0.3,"7,517,153",0.1,2.55
AUTO OWNERS LIFE INS CO,61190,Individual Life,0.1,"7,269,909",0.1,1.32
FIDELITY LIFE ASSN A LEGAL RESERVE,63290,Individual Life,0.3,"6,954,550",0.1,2.76
CONNECTICUT GEN LIFE INS CO,62308,Individual Life,0.5,"6,836,651",0.1,5.61
VOYA RETIREMENT INS & ANN CO,86509,Individual Life,0.1,"6,524,205",0.1,1.47
DIRECT GEN LIFE INS CO,97705,Individual Life,0.1,"6,050,228",0.1,1.58
AMERICAN FIDELITY ASSUR CO,60410,Individual Life,0.1,"5,438,205",0.1,1.76
PAN AMER ASSUR CO,93459,Individual Life,0.1,"4,976,382",0.1,1.93
AMERICAN BANKERS LIFE ASSUR CO OF,60275,Individual Life,0.1,"4,809,611",0.1,1.99
PIONEER SECURITY LIFE INS CO,67946,Individual Life,0.3,"4,665,369",0.1,4.11
LINCOLN LIFE & ANN CO OF NY,62057,Individual Life,0.1,"4,554,516",0.1,2.10
ATHENE ANNUITY & LIFE ASSUR CO,61492,Individual Life,0.9,"4,554,434",0.1,14.73
ATHENE ANN & LIFE CO,61689,Individual Life,1.9,"4,457,012",0.1,32.25
SHENANDOAH LIFE INS CO,68845,Individual Life,0.1,"4,426,783",0.1,2.16
AMICA LIFE INS CO,72222,Individual Life,0.1,"4,413,877",0.1,2.17
RELIASTAR LIFE INS CO OF NY,61360,Individual Life,0.1,"4,307,744",0.1,2.22
FARMERS NEW WORLD LIFE INS CO,63177,Individual Life,0.1,"4,056,190",0.1,2.36
SENIOR LIFE INS CO,78662,Individual Life,0.6,"4,033,167",0.1,11.88
WASHINGTON NATL INS CO,70319,Individual Life,1.1,"3,823,866",0.1,22.55
COLORADO BANKERS LIFE INS CO,84786,Individual Life,0.1,"3,710,647",0.0,2.58
COMMONWEALTH ANN & LIFE INS CO,84824,Individual Life,0.1,"3,630,315",0.0,2.64
AMERICAN CONTINENTAL INS CO,12321,Individual Life,0.4,"3,382,554",0.0,8.50
GREAT AMER LIFE INS CO,63312,Individual Life,0.3,"3,277,193",0.0,5.85
WILTON REASSUR LIFE CO OF NY,60704,Individual Life,0.1,"2,972,185",0.0,3.22
COTTON STATES LIFE INS CO,62537,Individual Life,0.1,"2,915,773",0.0,3.29
LIBERTY BANKERS LIFE INS CO,68543,Individual Life,0.1,"2,814,051",0.0,3.41
5 STAR LIFE INS CO,77879,Individual Life,0.1,"2,758,844",0.0,3.47
UNION SECURITY INS CO,70408,Individual Life,0.4,"2,600,999",0.0,11.05
TIME INS CO,69477,Individual Life,0.4,"2,524,274",0.0,11.39
OHIO STATE LIFE INS CO,67180,Individual Life,0.1,"2,486,495",0.0,3.85
OLD AMER INS CO,67199,Individual Life,0.1,"2,329,308",0.0,4.11
COMBINED INS CO OF AMER,62146,Individual Life,0.4,"2,118,650",0.0,13.57
JOHN ALDEN LIFE INS CO,65080,Individual Life,0.4,"2,100,686",0.0,13.69
GARDEN STATE LIFE INS CO,63657,Individual Life,0.4,"2,068,294",0.0,13.90
CONSTITUTION LIFE INS CO,62359,Individual Life,0.4,"1,935,046",0.0,14.86
FLORIDA COMBINED LIFE INS CO INC,76031,Individual Life,0.1,"1,894,138",0.0,5.06
HARTFORD LIFE & ACCIDENT INS CO,70815,Individual Life,0.4,"1,835,145",0.0,15.67
RESERVE NATL INS CO,68462,Individual Life,0.3,"1,781,876",0.0,10.76
DELAWARE LIFE INS CO,79065,Individual Life,0.4,"1,780,039",0.0,16.15
PAVONIA LIFE INS CO OF MI,93777,Individual Life,0.3,"1,746,864",0.0,10.97
CHESAPEAKE LIFE INS CO,61832,Individual Life,0.3,"1,660,448",0.0,11.54
FIRST ALLMERICA FIN LIFE INS CO,69140,Individual Life,0.1,"1,616,483",0.0,5.93
SURETY LIFE INS CO,69310,Individual Life,0.1,"1,544,855",0.0,6.20
GUARANTEE TRUST LIFE INS CO,64211,Individual Life,0.3,"1,409,303",0.0,13.60
AURORA NATL LIFE ASSUR CO,61182,Individual Life,0.1,"1,396,486",0.0,6.86
AXA EQUITABLE LIFE & ANN CO,62880,Individual Life,0.1,"1,325,289",0.0,7.23
FAMILY LIFE INS CO,63053,Individual Life,0.1,"1,051,859",0.0,9.11
FEDERAL LIFE INS CO,63223,Individual Life,0.1,"1,041,932",0.0,9.20
PROFESSIONAL INS CO,68047,Individual Life,0.1,"890,072",0.0,10.77
INVESTORS LIFE INS CO N AMER,63487,Individual Life,0.3,"877,627",0.0,21.84
ATHENE ANN & LIFE ASSUR CO OF NY,68039,Individual Life,0.1,"807,837",0.0,11.86
UNUM LIFE INS CO OF AMER,62235,Individual Life,0.3,"807,290",0.0,23.74
RELIANCE STANDARD LIFE INS CO,68381,Individual Life,0.1,"777,161",0.0,12.33
GREAT WESTERN INS CO,71480,Individual Life,0.4,"700,408",0.0,41.05
LOYAL AMER LIFE INS CO,65722,Individual Life,0.1,"576,456",0.0,16.62
FIDELITY SECURITY LIFE INS CO,71870,Individual Life,0.1,"536,448",0.0,17.86
BANKERS FIDELITY LIFE INS CO,61239,Individual Life,0.1,"504,743",0.0,18.99
NATIONAL FARMERS UNION LIFE INS CO,66540,Individual Life,0.1,"326,200",0.0,29.38
AMERICAN REPUBLIC INS CO,60836,Individual Life,0.3,"304,802",0.0,62.88
TRUSTMARK INS CO,61425,Individual Life,0.1,"260,742",0.0,36.75
MERIT LIFE INS CO,65951,Individual Life,0.1,"236,283",0.0,40.56
PACIFIC LIFE & ANN CO,97268,Individual Life,0.1,"161,792",0.0,59.23
CENTRAL STATES H & L CO OF OMAHA,61751,Individual Life,0.1,"128,818",0.0,74.39
PRUDENTIAL ANN LIFE ASSUR CORP,86630,Individual Life,0.1,"108,962",0.0,87.95
AMERICAN HLTH & LIFE INS CO,60518,Individual Life,0.1,"56,917",0.0,168.37
ATLANTA LIFE INS CO,61093,Individual Life,0.4,"49,808",0.0,577.19
FAMILY SERV LIFE INS CO,74004,Individual Life,0.1,864,0.0,"11,091.32"
COMPANION LIFE INS CO,77828,Individual Life,0.1,114,0.0,"84,060.57"
AIG PROP CAS CO,19402,Individual Life,0.3,0,0.0,
AMERICAN GENERAL LIFE & ACCIDENT I,66672,Individual Life,0.3,0,0.0,
AVIVA LIFE INS CO,62898,Individual Life,0.1,0,0.0,
BANKERS LIFE INS CO,81043,Individual Life,0.1,0,0.0,
CONSECO INS CO WITHDRAWN 7 2011,60682,Individual Life,0.3,0,0.0,
DIRECT GEN INS CO,42781,Individual Life,0.1,0,0.0,
HUMANA HLTH INS CO OF FL INC,69671,Individual Life,0.1,0,0.0,
INDEPENDENT ORDER OF FORESTERS US,58068,Individual Life,1.5,0,0.0,
JOHN HANCOCK LIFE INS CO,65099,Individual Life,0.1,0,0.0,
METLIFE INVESTORS USA INS CO,61050,Individual Life,0.1,0,0.0,
METROPOLITAN INS AND ANNNUITY CO,86428,Individual Life,0.3,0,0.0,
MODERN WOODMEN OF AMER,57541,Individual Life,0.1,0,0.0,
ROYAL NEIGHBORS OF AMER,57657,Individual Life,0.4,0,0.0,
SOUTHERN LIFE & HLTH INS CO,88323,Individual Life,0.1,0,0.0,
STONEBRIDGE LIFE INS CO,65021,Individual Life,0.1,0,0.0,
THRIVENT FINANCIAL FOR LUTHERANS,56014,Individual Life,0.1,0,0.0,
TRANSAMERICA CAS INS CO,10952,Individual Life,0.1,0,0.0,
TRUSTMARK LIFE INS CO,62863,Individual Life,0.1,0,0.0,
WOODMEN WORLD LIFE INS SOC,57320,Individual Life,0.3,0,0.0,
GENWORTH LIFE INS CO,70025,Long term care,16,9.5,"141,844,040",20.8
JOHN HANCOCK LIFE INS CO USA,65838,Long term care,14,8.3,"129,641,901",19.1
BANKERS LIFE & CAS CO,61263,Long term care,7.7,"40,358,989",5.9,1.30
METROPOLITAN LIFE INS CO,65978,Long term care,7.7,"33,544,912",4.9,1.56
UNUM LIFE INS CO OF AMER,62235,Long term care,1.2,"28,349,213",4.2,0.28
CONTINENTAL CAS CO,20443,Long term care,7.1,"26,830,089",3.9,1.80
TRANSAMERICA LIFE INS CO,86231,Long term care,3.0,"22,026,923",3.2,0.91
BRIGHTHOUSE LIFE INS CO,87726,Long term care,5.9,"20,241,535",3.0,1.99
PRUDENTIAL INS CO OF AMER,68241,Long term care,4.7,"19,663,782",2.9,1.64
JOHN HANCOCK LIFE & HLTH INS CO,93610,Long term care,4.1,"16,194,106",2.4,1.74
MUTUAL OF OMAHA INS CO,71412,Long term care,0.6,"13,872,617",2.0,0.29
NEW YORK LIFE INS CO,66915,Long term care,0.6,"13,714,921",2.0,0.29
MASSACHUSETTS MUT LIFE INS CO,65935,Long term care,1.2,"12,148,432",1.8,0.66
RIVERSOURCE LIFE INS CO,65005,Long term care,1.2,"10,518,211",1.5,0.77
ALLIANZ LIFE INS CO OF N AMER,90611,Long term care,1.2,"10,205,858",1.5,0.79
SENIOR HLTH INS CO OF PA,76325,Long term care,8.9,"8,255,127",1.2,7.31
TIME INS CO,69477,Long term care,1.2,"7,165,945",1.1,1.12
CMFG LIFE INS CO,62626,Long term care,2.4,"4,304,884",0.6,3.74
UNITED OF OMAHA LIFE INS CO,69868,Long term care,0.6,"2,901,241",0.4,1.39
UNITED SECURITY ASSUR CO OF PA,42129,Long term care,0.6,"2,653,749",0.4,1.52
WASHINGTON NATL INS CO,70319,Long term care,1.2,"1,821,453",0.3,4.42
CONSTITUTION LIFE INS CO,62359,Long term care,2.4,"1,738,201",0.3,9.26
AMERICAN FAMILY LIFE ASSUR CO OF C,60380,Long term care,0.6,"1,680,702",0.2,2.40
KANAWHA INS CO,65110,Long term care,4.1,"1,399,525",0.2,20.13
TIAA CREF LIFE INS CO,60142,Long term care,0.6,"895,154",0.1,4.50
JACKSON NATL LIFE INS CO,65056,Long term care,0.6,"885,842",0.1,4.54
PYRAMID LIFE INS CO,68284,Long term care,0.6,"227,276",0.0,17.71
UNITED AMER INS CO,92916,Long term care,0.6,"172,551",0.0,23.33
ALLSTATE LIFE INS CO,60186,Long term care,0.6,"168,764",0.0,23.85
LINCOLN NATL LIFE INS CO,65676,Long term care,0.6,"110,112",0.0,36.56
GREAT AMER LIFE INS CO,63312,Long term care,0.6,"33,327",0.0,120.79
GENWORTH LIFE & ANN INS CO,65536,Long term care,0.6,"26,946",0.0,149.40
BCBS OF FL,98167,Long term care,1.2,0,0.0,
FLORIDA COMBINED LIFE INS CO INC,76031,Long term care,0.6,0,0.0,
HARTFORD LIFE & ACCIDENT INS CO,70815,Long term care,0.6,0,0.0,
JOHN HANCOCK LIFE INS CO,65099,Long term care,1.2,0,0.0,
LINCOLN BENEFIT LIFE CO,65595,Long term care,1.2,0,0.0,
NATIONAL STATES INS CO,60593,Long term care,0.6,0,0.0,
PENN TREATY NTWRK AMER INS CO,63282,Long term care,2.4,0,0.0,
STATE FARM LIFE INS CO,69108,Long term care,0.6,0,0.0,
THRIVENT FINANCIAL FOR LUTHERANS,56014,Long term care,0.6,0,0.0,
UNITED TEACHER ASSOC INS CO,63479,Long term care,0.6,0,0.0,
PHILADELPHIA IND INS CO,18058,Medical Profession Liability,100.0,"4,816",0.0,"123,440.93"
UNITEDHEALTHCARE INS CO,79413,Medicare Supplement,19.4,"1,130,865,998",55.8,0.35
BCBS OF FL,98167,Medicare Supplement,36.8,"432,233,804",21.3,1.72
UNITED AMER INS CO,92916,Medicare Supplement,5.6,"104,820,333",5.2,1.07
COLONIAL PENN LIFE INS CO,62065,Medicare Supplement,6.3,"64,240,806",3.2,1.97
BANKERS LIFE & CAS CO,61263,Medicare Supplement,1.4,"36,872,313",1.8,0.76
CONSTITUTION LIFE INS CO,62359,Medicare Supplement,4.9,"32,513,364",1.6,3.03
USAA LIFE INS CO,69663,Medicare Supplement,0.7,"29,307,666",1.4,0.48
MUTUAL OF OMAHA INS CO,71412,Medicare Supplement,1.4,"27,179,245",1.3,1.04
TRANSAMERICA LIFE INS CO,86231,Medicare Supplement,1.4,"15,475,450",0.8,1.82
HUMANA HLTH INS CO OF FL INC,69671,Medicare Supplement,4.9,"12,968,857",0.6,7.59
TRANSAMERICA PREMIER LIFE INS CO,66281,Medicare Supplement,0.7,"8,754,961",0.4,1.61
CONTINENTAL LIFE INS CO BRENTWOOD,68500,Medicare Supplement,0.7,"8,175,506",0.4,1.72
AETNA LIFE INS CO,60054,Medicare Supplement,1.4,"4,473,393",0.2,6.29
OXFORD LIFE INS CO,76112,Medicare Supplement,0.7,"4,361,286",0.2,3.23
PYRAMID LIFE INS CO,68284,Medicare Supplement,0.7,"1,008,899",0.0,13.94
AMERICAN GEN LIFE INS CO,60488,Medicare Supplement,0.7,"203,933",0.0,68.98
UNIFIED LIFE INS CO,11121,Medicare Supplement,0.7,"92,592",0.0,151.93
AETNA HLTH INS CO,72052,Medicare Supplement,0.7,0,0.0,
AMERICAN PIONEER LIFE INS CO,60763,Medicare Supplement,0.7,0,0.0,
COVENTRY HLTH CARE OF FL INC,95114,Medicare Supplement,1.4,0,0.0,
FAMILY LIFE INS CO,63053,Medicare Supplement,0.7,0,0.0,
FREEDOM LIFE INS CO OF AMER,62324,Medicare Supplement,1.4,0,0.0,
HUMANA INS CO,73288,Medicare Supplement,4.9,0,0.0,
UNITED OF OMAHA LIFE INS CO,69868,Medicare Supplement,0.7,0,0.0,
UNITED TEACHER ASSOC INS CO,63479,Medicare Supplement,0.7,0,0.0,
WELLCARE PRESCRIPTION INS INC,10155,Medicare Supplement,0.7,0,0.0,
STATE FARM MUT AUTO INS CO,25178,Private Passenger,8.7,"2,752,259,326",15.9,0.55
GEICO GEN INS CO,35882,Private Passenger,6.3,"2,211,145,214",12.8,0.49
PROGRESSIVE AMER INS CO,24252,Private Passenger,3.7,"1,374,303,438",7.9,0.47
GEICO IND CO,22055,Private Passenger,5.2,"1,141,172,170",6.6,0.78
PROGRESSIVE SELECT INS CO,10192,Private Passenger,3.2,"1,123,598,240",6.5,0.50
ALLSTATE FIRE & CAS INS CO,29688,Private Passenger,3.6,"988,374,171",5.7,0.64
GOVERNMENT EMPLOYEES INS CO,22063,Private Passenger,1.8,"599,829,400",3.5,0.51
UNITED SERV AUTOMOBILE ASSN,25941,Private Passenger,0.8,"456,464,993",2.6,0.31
ALLSTATE INS CO,19232,Private Passenger,1.2,"386,633,567",2.2,0.55
WINDHAVEN INS CO,12541,Private Passenger,15.8,"354,136,452",2.0,7.75
USAA CAS INS CO,25968,Private Passenger,1.0,"353,867,493",2.0,0.48
INFINITY AUTO INS CO,11738,Private Passenger,3.6,"287,490,249",1.7,2.14
SAFECO INS CO OF IL,39012,Private Passenger,0.7,"268,580,627",1.5,0.42
USAA GEN IND CO,18600,Private Passenger,1.2,"259,650,966",1.5,0.77
STANDARD FIRE INS CO,19070,Private Passenger,0.5,"254,345,327",1.5,0.34
SECURITY NATL INS CO,33120,Private Passenger,1.3,"218,443,275",1.3,1.02
LM GEN INS CO,36447,Private Passenger,0.9,"205,137,840",1.2,0.72
DIRECT GEN INS CO,42781,Private Passenger,3.7,"203,221,482",1.2,3.14
ALLSTATE PROP & CAS INS CO,17230,Private Passenger,0.5,"190,719,065",1.1,0.48
UNITED AUTOMOBILE INS CO,35319,Private Passenger,3.0,"174,930,840",1.0,3.00
ESURANCE PROP & CAS INS CO,30210,Private Passenger,0.8,"170,626,409",1.0,0.84
SOUTHERN OWNERS INS CO,10190,Private Passenger,0.4,"166,288,425",1.0,0.37
OCEAN HARBOR CAS INS CO,12360,Private Passenger,7.7,"160,478,033",0.9,8.33
HARTFORD UNDERWRITERS INS CO,30104,Private Passenger,0.8,"139,100,318",0.8,1.00
METROPOLITAN CAS INS CO,40169,Private Passenger,0.6,"137,718,537",0.8,0.76
21ST CENTURY CENTENNIAL INS CO,34789,Private Passenger,0.7,"132,459,422",0.8,0.86
MERCURY IND CO OF AMER,11201,Private Passenger,0.4,"131,191,062",0.8,0.57
FLORIDA FARM BUR GEN INS CO,21817,Private Passenger,0.3,"129,905,044",0.7,0.37
GARRISON PROP & CAS INS CO,21253,Private Passenger,0.6,"120,492,203",0.7,0.83
AUTO CLUB INS CO OF FL,12813,Private Passenger,0.3,"112,016,467",0.6,0.39
INFINITY IND INS CO,10061,Private Passenger,1.2,"109,263,434",0.6,1.88
AMICA MUT INS CO,19976,Private Passenger,0.2,"104,089,019",0.6,0.38
ALLSTATE IND CO,19240,Private Passenger,0.5,"99,545,435",0.6,0.83
